NODE,Serial#,NODENAME,OOB_IP,GW,VPC_GRP,VPC_Member1,VPC_Member2,VPC_ID,IFSELECTOR,LEAFPROF,LEAFSELECTOR,VPCIntProf,VPCIFSELECTOR,VPCLEAFPROF,VPCLEAFSELECTOR,,VPCNAME
101,TEP-1-101,leaf-101,192.168.1.100/24,192.168.1.1,100,101,102,149,L101-LeafProf_ifselector,L101-LeafProf,L101-LeafSelector,L101-L102-vPC-IntProf,L101-L102-LeafProf_ifselector,L101-L102-LeafProf,L101-L102-LeafSelector,,VPC-tdub
102,TEP-1-102,leaf-102,192.168.1.101/24,192.168.1.1,100,102,101,149,L102-LeafProf_ifselector,L102-LeafProf,L102-LeafSelector,L101-L102-vPC-IntProf,L101-L102-LeafProf_ifselector,L101-L102-LeafProf,L101-L102-LeafSelector,,VPC-tdub
